cgdppc,countrycode,rgdpnapc
2392,AFG,2392
2422,AFG,2422
2462,AFG,2462
2568,AFG,2568
2576,AFG,2576
2579,AFG,2579
2644,AFG,2644
2593,AFG,2593
2684,AFG,2684
2705,AFG,2705
2744,AFG,2744
2708,AFG,2708
2695,AFG,2695
2683,AFG,2683
2673,AFG,2673
2670,AFG,2670
2633,AFG,2633
2642,AFG,2642
2670,AFG,2670
2646,AFG,2646
2632,AFG,2632
2560,AFG,2560
2086,AFG,2086
2091,AFG,2091
2149,AFG,2149
2225,AFG,2225
2286,AFG,2286
2116,AFG,2116
2215,AFG,2215
2118,AFG,2118
2108,AFG,2108
2369,AFG,2369
2628,AFG,2628
2789,AFG,2789
2766,AFG,2766
2700,AFG,2700
2779,AFG,2779
2507,AFG,2507
2280,AFG,2280
2067,AFG,2067
1992,AFG,1992
1761,AFG,1761
1629,AFG,1629
1080,AFG,1080
772,AFG,772
1101,AFG,1101
1008,AFG,1008
926,AFG,926
856,AFG,856
787,AFG,787
735,AFG,735
692,AFG,692
1088,AFG,1088
1112,AFG,1112
1107,AFG,1107
1187,AFG,1187
1257,AFG,1257
1447,AFG,1447
1464,AFG,1464
1669,AFG,1669
1685,AFG,1685
1792,AFG,1792
1945,AFG,1945
2025,AFG,2025
2022,AFG,2022
1928,AFG,1928
1929,AFG,1929
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
,AGO,
3246,AGO,5345
2917,AGO,4752
2964,AGO,4687
2887,AGO,4784
2936,AGO,4774
3120,AGO,4790
3056,AGO,4600
2658,AGO,4294
2462,AGO,4026
2235,AGO,3937
2389,AGO,3882
1771,AGO,3458
1986,AGO,3785
2006,AGO,4249
2146,AGO,4252
2400,AGO,4325
1755,AGO,4253
2226,AGO,3894
1866,AGO,2870
1855,AGO,2819
1551,AGO,3142
1955,AGO,3461
1851,AGO,3607
2097,AGO,3668
1843,AGO,3644
1647,AGO,3659
1894,AGO,3720
2133,AGO,4112
2146,AGO,4187
2538,AGO,4481
3364,AGO,5136
4558,AGO,6024
5314,AGO,7173
6318,AGO,7936
5212,AGO,7900
6408,AGO,7940
8016,AGO,8016
8074,AGO,8190
8612,AGO,8508
8615,AGO,8673
8631,AGO,8689
8397,AGO,8453
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
658,ALB,795
882,ALB,1065
1011,ALB,1221
1152,ALB,1390
1197,ALB,1445
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
1367,ALB,1651
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
,ALB,
